C1,C2,C3
13425.92969,16697.25,10560.75
14305.55469,16146.79004,10934.58008
15185.17969,15596.33008,11308.41016
15879.625,15366.9707,11728.9707
16574.07031,15137.61035,12149.53027
17129.625,15045.87012,12476.63477
17685.17969,15229.36035,12803.74023
18333.33008,15229.36035,13271.03027
18333.33008,15229.36035,13738.32031
18240.74023,15137.61523,14205.61035
16944.43945,15045.87012,14672.90039
15231.47949,14954.125,15140.19043
13518.51953,14862.37988,15140.19043
12129.62988,14128.43945,14953.26953
10740.74023,13394.5,14672.90039
10000,12385.3252,14299.05957
9259.258789,11376.15039,14299.05957
8518.517578,10366.97461,14766.36035
7777.776855,9357.797852,15420.55957
7638.888672,8990.825195,16168.22461
7500,8623.852539,16915.89063
6960.785156,8623.852539,17803.74023
6715.687012,8623.852539,18691.58984
6715.687012,8302.751953,19859.81445
6911.765137,7981.650879,21028.03906
7009.803711,7706.421875,22663.55078
7107.842773,7706.421875,24299.06055
7117.646973,7706.421875,25233.64063
7127.451172,7981.650879,25607.4707
6850.762695,8990.825195,25327.09961
6574.074219,10000,24579.43945
7314.814453,10963.30469,24112.15039
8055.555176,11926.61035,23925.23047
9074.072266,13027.52539,24112.15039
10092.58984,14128.44043,25046.73047
11157.4043,15642.20117,25887.85156
12222.21973,17155.96094,26728.9707
13750,19128.44141,28271.02539
15277.78027,21100.91992,29813.08008
19259.25977,22981.65039,31542.05469
21298.73047,24862.38086,33271.03125
23194.44531,26788.99023,34345.79688
23890.54688,28715.59961,35420.55859
26250,31238.53516,35514.01953
29351.84961,33761.46875,35046.73047
32314.81641,37155.96484,35046.73047
35277.78125,40550.46094,35794.39063
37546.29688,43211.00781,36682.24219
39814.80859,45871.55859,37570.08984
41620.36719,47385.32031,38130.83984
43425.92969,48899.07813,38504.67188
45879.62891,49311.92188,37009.33984
48333.32813,49724.76953,34018.69141
51898.14453,50412.83984,29859.81055
55462.96094,51100.91016,25700.92969
57592.58984,52798.16016,22476.63477
58888.87891,54495.41016,19252.33984
58703.69922,55504.58984,17570.09375
56574.07031,55963.30078,15887.84961
52361.10547,55504.58984,14953.26953
48148.14063,52660.55078,14018.69043
43842.58984,47201.83594,13317.75586
39537.03906,41743.12109,12616.82031
35833.33594,36238.53125,12429.91016
32129.63086,30733.93945,12336.4502
29398.14453,27844.03516,12336.4502
26666.66016,24954.13086,12710.28027
24490.73438,23577.98047,13177.57031
22314.81055,22201.83008,13644.86035
21064.81055,20688.07031,13738.32031
19814.81055,19174.31055,13831.78027
18518.51563,18256.87891,12897.2002
17222.2207,17339.44922,11962.62012
16342.58984,16422.01953,10933.2334
15462.95996,15504.58984,9903.84668
15185.17969,15045.87012,9471.154297
15185.17969,14862.37988,9038.461914
15740.74023,15321.09961,8822.115234
16018.51953,16146.79004,8605.769531
16666.66406,16972.47461,8461.539063
17314.81055,17798.16016,8461.539063
17685.17969,17981.65039,8750
17870.36914,17981.65039,9326.923828
16898.14844,17431.19141,10096.15234
15925.92969,16880.73047,10865.37988
14259.25977,14449.54004,11923.07422
12592.58984,12018.34961,12980.76953
11249.99805,9714.286133,13365.37988
9907.407227,7904.762207,13750
9444.444336,7428.570801,13269.23047
9444.444336,7619.047852,12596.15039
9259.258789,8333.333008,11826.91992
9259.258789,8857.142578,11057.69043
9259.258789,8666.666992,10576.91992
9444.444336,7571.429199,10480.76953
9212.962891,6119.047852,10673.08008
8981.481445,4666.666992,10961.54004
8681.917969,3580.952637,11538.45996
8382.353516,2495.238037,12115.37988
7774.510254,1904.761963,12596.15039
7166.666992,1314.286011,12884.62012
6549.02002,1015.521362,12788.45996
5931.373047,716.7567749,12115.37988
5303.921875,589.7297363,10464.74023
4676.471191,462.7026978,8814.101563
4151.960938,415.1351318,7163.461914
3627.450928,367.5675964,5846.154297
3181.372559,350.2702942,4528.84668
2735.293945,344.8648987,3211.539063
2416.666504,355.6756897,2634.615479
2098.039063,375.1351013,2057.691895
1877.45105,390.2702942,1769.230469
1656.863037,395.6756897,1480.769043
1485.293945,381.6216125,1310.897339
1313.724976,350.2702942,1141.025635
1215.686035,313.5135498,971.1538696
1117.646973,276.7568054,874.4312134
1073.529541,271.3512878,777.7085571
1029.411987,276.7568054,680.9859009
961.1345825,283.2432861,584.2632446
892.8571777,284.3243103,487.5405884
877.1008301,275.6756897,467.4972534
861.3444824,265.9460144,447.4538879
845.5882568,261.6216125,434.4529114
829.8319702,272.4324036,444.2037048
814.0756226,310.2702637,485.3738098
798.3192749,348.1080933,564.4636841
785.7142944,384.8648987,664.1386719
773.109314,391.3512878,763.8135986
758.9285889,365.4053955,786.5654907
744.7479248,312.4324036,700.9749756
750.5252686,274.5946045,581.7985229
756.3026123,236.7568054,488.0823669
773.109314,228.6486511,394.3662109
789.9160156,220.5404968,368.3640747
828.2563477,214.0540466,342.361908
866.5966797,207.5675964,337.6670532
905.9874268,189.189209,332.972168
945.3781738,170.8108063,328.2773132
966.3865967,148.1081085,308.7756958
987.3950195,125.4054031,302.2752075
992.6470947,117.8377991,317.4431152
976.8908081,126.4865036,351.0292053
953.2563477,160.5405579,438.7865906
929.6218872,194.5946045,569.3391724
890.2311401,207.5675964,699.8917236
850.8403931,182.7026978,708.559021
821.9538574,138.3784027,588.2990112
793.0673218,97.29728699,418.2015076
775.210083,72.3020401,264.3552856
762.6049805,47.3067894,176.5980072